cell,segment_id,start_time,end_time,n_samples,duration_s,integrated_ah,mean_abs_current_A,assigned_rate_C,Q_ref_Ah,SOC_end_from_Qref
P1,10,2024-02-17T07:36:25.586,2024-02-17T08:34:28.000,6254,3482.413999999997,9.671711535717543,9.996480459093338,1.0,10.884552218263446,0.1114277058187885
P1,12,2024-02-17T10:26:59.000,2024-02-17T11:24:06.035,6151,3427.0349999999967,9.519211777955126,9.999436505133492,1.0,10.884552218263446,0.125438365578088
P1,14,2024-02-17T13:18:39.000,2024-02-17T14:16:14.312,6199,3455.311999999998,9.596259203295846,9.996673339750942,1.0,10.884552218263446,0.1183597624536122
P1,16,2024-02-17T16:11:00.000,2024-02-17T18:14:00.000,13240,7379.999999999996,10.249534350460202,4.999536156965193,0.5,10.884552218263446,0.0583412027495015
P1,18,2024-02-17T20:53:31.000,2024-02-17T22:56:34.000,13250,7382.999999999996,10.252951431106114,4.999142385326835,0.5,10.884552218263446,0.0580272641898446
P1,20,2024-02-18T01:37:18.906,2024-02-18T03:40:35.000,13273,7396.0939999999955,10.272885906157663,5.000121618206433,0.5,10.884552218263446,0.0561958176910073
P1,22,2024-02-18T06:21:01.000,2024-02-18T08:24:28.000,13287,7406.999999999997,10.287188990328598,4.999593554127201,0.5,10.884552218263446,0.0548817457949732
P1,24,2024-02-18T12:20:44.000,2024-02-18T17:38:16.133,34169,19052.13300000008,10.583708469277394,1.9998323137807676,0.2,10.884552218263446,0.027639515430066
P1,26,2024-02-18T23:12:22.000,2024-02-19T04:30:15.000,34212,19073.00000000008,10.596266020597444,2.0000062095256967,0.2,10.884552218263446,0.0264858114403896
P1,28,2024-02-19T10:07:20.000,2024-02-19T15:25:59.000,34288,19119.000000000087,10.621540059273784,1.9999398045274124,0.2,10.884552218263446,0.0241638014789756
P1,30,2024-02-19T21:01:53.000,2024-02-20T02:20:37.000,34309,19124.00000000009,10.62388236472164,1.9998826899802864,0.2,10.884552218263446,0.023948606090053
P2,2,2024-02-16T19:50:25.000,2024-02-16T20:44:26.000,5816,3240.9999999999964,9.00112912518154,9.996557423747282,1.0,10.771930471456836,0.1643903431207168
P2,5,2024-02-17T00:15:07.801,2024-02-17T01:03:57.000,5261,2929.198999999999,8.134226437084562,9.995599296887072,1.0,10.771930471456836,0.2448682751305895
P2,8,2024-02-17T04:16:13.000,2024-02-17T05:03:01.000,5036,2807.999999999998,7.798591515048721,9.99758614774523,1.0,10.771930471456836,0.2760265640673031
P2,10,2024-02-17T06:49:18.488,2024-02-17T07:34:55.883,4913,2737.394999999998,7.6019873022023,9.99661279042055,1.0,10.771930471456836,0.2942780941312389
P2,12,2024-02-17T09:18:37.000,2024-02-17T10:02:45.000,4750,2647.999999999997,7.354091031126219,9.99579678765279,1.0,10.771930471456836,0.3172912644940582
P2,14,2024-02-17T11:47:03.000,2024-02-17T12:31:51.000,4822,2687.999999999998,7.464930752002443,9.996563207310352,1.0,10.771930471456836,0.3070015841837439
P2,16,2024-02-17T14:15:36.848,2024-02-17T16:17:03.000,13073,7286.151999999997,10.1190227584527,4.999414914488308,0.5,10.771930471456836,0.0606119501731088
P2,18,2024-02-17T19:01:49.000,2024-02-17T21:03:20.203,13075,7291.202999999997,10.1254328101127,4.9989291973425045,0.5,10.771930471456836,0.0600168802664674
P2,20,2024-02-17T23:50:18.438,2024-02-18T01:51:40.258,13067,7281.819999999994,10.112969772420168,4.99943313818963,0.5,10.771930471456836,0.0611738722954779
P2,22,2024-02-18T04:40:17.000,2024-02-18T06:41:23.000,13025,7265.999999999995,10.09083517297596,4.999353636125585,0.5,10.771930471456836,0.0632287128370928
P2,28,2024-02-18T21:44:15.000,2024-02-19T02:52:59.000,33227,18524.00000000008,10.289773039649702,1.9996748508245945,0.2,10.771930471456836,0.0447605406556179
P2,30,2024-02-19T08:27:41.613,2024-02-19T13:40:33.723,33661,18772.11000000006,10.428471606716506,1.999852929804842,0.2,10.771930471456836,0.0318846158216874
